idx,k_n,k_c,sN,sA,sAA,bP,bQ,bA,score
124,5,38,3.2,0.1,6,3.0,0.2,2.3,0.0
125,5,38,3.2,0.1,6,3.0,0.0,2.0,0.000541171875
126,5,38,3.2,0.1,6,3.0,0.0,2.1,0.0005602062499999999
127,5,38,3.2,0.1,6,3.0,0.0,2.2,0.0
128,5,38,3.2,0.1,6,3.0,0.0,2.3,0.0
129,5,38,3.2,0.1,7,2.5,0.2,2.0,0.000310496875
130,5,38,3.2,0.1,7,2.5,0.2,2.1,0.00030661562499999993
131,5,38,3.2,0.1,7,2.5,0.2,2.2,0.0
132,5,38,3.2,0.1,7,2.5,0.2,2.3,0.0
133,5,38,3.2,0.1,7,2.5,0.0,2.0,0.00026018124999999993
134,5,38,3.2,0.1,7,2.5,0.0,2.1,0.0
135,5,38,3.2,0.1,7,2.5,0.0,2.2,0.0
136,5,38,3.2,0.1,7,2.5,0.0,2.3,0.0
137,5,38,3.2,0.1,7,3.0,0.2,2.0,0.00032821562499999986
138,5,38,3.2,0.1,7,3.0,0.2,2.1,0.000362628125
139,5,38,3.2,0.1,7,3.0,0.2,2.2,0.00025647187499999995
140,5,38,3.2,0.1,7,3.0,0.2,2.3,0.0
141,5,38,3.2,0.1,7,3.0,0.0,2.0,0.00026077812499999996
142,5,38,3.2,0.1,7,3.0,0.0,2.1,0.0002606031249999999
143,5,38,3.2,0.1,7,3.0,0.0,2.2,0.0
144,5,38,3.2,0.1,7,3.0,0.0,2.3,0.0
145,5,39,2.8,0.1,5,2.5,0.2,2.0,0.0007316281249999999
146,5,39,2.8,0.1,5,2.5,0.2,2.1,0.0
147,5,39,2.8,0.1,5,2.5,0.2,2.2,0.0
148,5,39,2.8,0.1,5,2.5,0.2,2.3,0.0
149,5,39,2.8,0.1,5,2.5,0.0,2.0,0.0
150,5,39,2.8,0.1,5,2.5,0.0,2.1,0.0
151,5,39,2.8,0.1,5,2.5,0.0,2.2,0.0
152,5,39,2.8,0.1,5,2.5,0.0,2.3,0.0
153,5,39,2.8,0.1,5,3.0,0.2,2.0,0.008843987500000004
154,5,39,2.8,0.1,5,3.0,0.2,2.1,0.008726375000000003
155,5,39,2.8,0.1,5,3.0,0.2,2.2,0.009401075000000002
156,5,39,2.8,0.1,5,3.0,0.2,2.3,0.009395709375000005
157,5,39,2.8,0.1,5,3.0,0.0,2.0,0.006903484374999998
